,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days,Price in EUR
4784,Motor Yacht,Fairline power boats,"Used boat,Diesel",2008,13.1,4.0,GRP,Croatia,153,275000
4785,Hardtop,Sealine power boats,"Used boat,Diesel",2010,14.02,4.48,GRP,Germany,105,275000
4787,Flybridge,Fairline power boats,Used boat,1995,19.04,4.85,GRP,Finland,73,275000
4788,Flybridge,B̩n̩teau power boats,"new boat from stock,Diesel",2019,11.37,3.8,PVC,France,44,275000
4789,Hardtop,Sunseeker power boats,"Used boat,Diesel",2005,16.15,1.4,GRP,Spain,62,275000
4790,Trawler,B̩n̩teau power boats,"Used boat,Diesel",2011,13.88,4.25,PVC,France,81,275000
4792,Motor Yacht,Sessa power boats,"Used boat,Diesel",2012,11.7,3.75,GRP,Spain,49,275000
4793,Trawler,van der Heijden power boats,Used boat,2005,14.95,4.5,Steel,Netherlands,53,275000
4794,Motor Yacht,Cobra Yachts power boats,"Display Model,Diesel",2019,11.4,3.5,GRP,Poland,159,274999
4795,Hardtop,Bavaria power boats,"Used boat,Diesel",2011,14.3,4.41,GRP,Italy,74,274900
4797,Motor Yacht,Jeanneau power boats,"new boat from stock,Diesel",2019,10.5,3.32,GRP,Germany,132,274900
4798,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,14.97,4.3,GRP,Sweden,119,294941
4799,Motor Yacht,Canados power boats,"Used boat,Diesel",1995,18.29,5.46,GRP,United,70,294994
4800,Hardtop,Jeanneau power boats,"Used boat,Diesel",2019,10.52,3.05,PVC,United,78,294941
4801,Cabin Boat,Invictus power boats,"new boat from stock,Unleaded",2020,11.4,3.5,GRP,Switzerland,178,274000
4802,Passenger boat,Hitzler-Werft Regensburg power boats,"Used boat,Diesel",1910,13.3,3.12,Steel,Switzerland,245,297950
4803,Flybridge,Astondoa power boats,"Used boat,Diesel",2003,13.9,4.3,GRP,Switzerland,408,297950
4804,Motor Yacht,Fairline power boats,"Used boat,Diesel",2006,15.79,4.5,GRP,Switzerland,1107,297950
4805,Cabin Boat,Delta Powerboats power boats,"new boat from stock,Diesel",2020,10.7,3.1,GRP,Switzerland,220,272000
4807,Bowrider,Chris Craft power boats,"new boat from stock,Unleaded",2020,8.13,2.59,GRP,Switzerland,183,296435
4808,"Classic,House Boat,Motor Yacht",Lavagna power boats,"Used boat,Diesel",1967,18.5,4.95,Wood,France,578,292900
4809,Motor Yacht,Benetti power boats,"Used boat,Diesel",1969,23.8,5.8,Steel,Croatia,124,270000
4810,Flybridge,Diano power boats,"Used boat,Diesel",1991,22.8,5.75,Wood,Italy,65,270000
4812,Flybridge,Sealine power boats,"Used boat,Diesel",2010,14.1,4.48,GRP,Croatia,102,270000
4814,Motor Yacht,Fairline power boats,Used boat,2008,15.0,4.0,GRP,Spain,42,270000
4815,Hardtop,Innovazioni e Progetti power boats,"Used boat,Diesel",2009,14.7,4.64,GRP,Italy,64,270000
4816,Flybridge,Sealine power boats,Used boat,2010,14.1,4.48,GRP,Croatia,54,270000
4818,Hardtop,B̩n̩teau power boats,"Used boat,Diesel",2018,12.67,3.85,GRP,Croatia,70,270000
4821,Hardtop,Rizzardi power boats,"Used boat,Diesel",2005,14.8,4.4,GRP,Italy,116,270000
4822,Hardtop,Pershing power boats,Used boat,2002,16.7,4.7,GRP,Italy,115,270000
4823,Hardtop,Sunseeker power boats,Used boat,2005,17.35,4.57,GRP,Italy,119,270000
4824,Flybridge,Azimut power boats,"Used boat,Diesel",2007,12.9,4.29,GRP,Austria,84,269900
4825,Flybridge,Fairline power boats,"Used boat,Diesel",2003,15.79,4.5,GRP,Netherlands,185,269000
4826,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,13.22,4.41,GRP,Italy,54,269000
4827,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,13.22,4.41,GRP,Italy,126,269000
4828,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,13.22,4.41,GRP,Italy,99,269000
4829,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,13.22,4.41,GRP,Italy,171,269000
4830,Flybridge,Galeon power boats,"Used boat,Diesel",2012,11.98,3.75,GRP,Germany,408,269000
4831,Flybridge,Fairline power boats,"Used boat,Diesel",2001,17.05,4.65,PVC,United,100,289100
4832,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,14.97,4.3,GRP,Portugal,48,289100
4836,Runabout,Comitti power boats,"Display Model,Unleaded",2019,11.0,2.99,GRP,Switzerland,243,268000
4838,"Classic,Runabout",Comitti power boats,new boat from stock,2018,11.0,2.99,GRP,Switzerland,285,290880
4839,Motor Yacht,Jeanneau power boats,new boat on order,2020,11.47,3.62,GRP,Germany,45,265727
4841,Sport Boat,Cormate power boats,"new boat on order,Unleaded",2021,10.36,2.55,GRP,Switzerland,156,265000
4842,House Boat,Hemiksem power boats,Used boat,1966,46.91,5.08,Steel,Belgium,174,265000
4843,Motor Yacht,Azimut power boats,"Used boat,Diesel",2011,11.58,3.86,GRP,Germany,95,265000
4844,Pilothouse,Bavaria power boats,"Used boat,Diesel",2017,11.99,4.2,GRP,Italy,236,265000
4846,Motor Yacht,Galeon power boats,Used boat,2011,13.6,3.9,GRP,Spain,97,265000
4847,Motor Yacht,Absolute power boats,"Used boat,Diesel",2009,14.36,4.24,GRP,Greece,64,265000
4848,Hardtop,Jeanneau power boats,Used boat,2017,11.15,3.74,GRP,Estonia,68,265000
4850,Flybridge,Ferretti power boats,"Used boat,Diesel",2006,15.62,4.8,GRP,Italy,74,265000
4851,Hardtop,Pershing power boats,"Used boat,Diesel",2002,16.7,4.7,GRP,Italy,116,265000
4852,Sport Boat,Nautica Esposito power boats,"Used boat,Diesel",2017,11.5,3.85,PVC,Spain,41,265000
4853,Trawler,B̩n̩teau power boats,"Used boat,Diesel",2011,13.88,4.25,PVC,France,54,265000
4854,Wakeboard/Wakesurf,Pavati power boats,"Display Model,Unleaded",2019,7.52,2.56,Aluminium,Switzerland,690,287850
4855,Sport Boat,Linssen power boats,"Used boat,Diesel",2009,12.85,4.3,Steel,Switzerland,247,287850
4856,Flybridge,Princess power boats,"Used boat,Diesel",2008,12.8,4.18,GRP,United,95,283141
4857,Bowrider,Fjord power boats,"Used boat,Unleaded",2018,11.32,3.64,PVC,France,103,263000
4858,Motor Yacht,Biot power boats,"Used boat,Diesel",2003,14.15,4.3,Aluminium,Switzerland,212,282800
4860,Motor Yacht,Monachus power boats,"Used boat,Diesel",2008,13.85,4.2,GRP,Croatia,38,260000
4862,Motor Yacht,Sessa power boats,"Used boat,Diesel",2009,11.88,3.99,GRP,Croatia,39,260000
4866,Trawler,B̩n̩teau power boats,"Used boat,Diesel",2012,13.88,4.25,GRP,Turkey,82,260000
4869,Hardtop,Sessa power boats,"Used boat,Diesel",2006,15.8,4.5,GRP,Croatia,54,260000
4870,Hardtop,Rio power boats,Used boat,2012,13.23,4.0,GRP,Italy,48,260000
4871,Motor Yacht,Uniesse power boats,"Used boat,Diesel",2005,16.2,4.5,GRP,Italy,62,260000
4873,Hardtop,Sunseeker power boats,"Used boat,Diesel",2007,14.99,4.2,GRP,Croatia,177,260000
4874,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2007,16.7,4.65,GRP,Spain,122,260000
4875,Hardtop,Bavaria power boats,"Used boat,Diesel",2015,13.29,3.97,GRP,Germany,178,260000
4876,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2013,13.36,4.16,PVC,France,130,260000
4880,Trawler,Tryvia power boats,Used boat,2011,13.45,4.25,Steel,Netherlands,107,259500
4881,Flybridge,Adagio Yachts power boats,Used boat,2008,12.97,3.87,GRP,Netherlands,53,259000
4882,Motor Yacht,Fairline power boats,"Used boat,Diesel",2001,16.61,4.67,GRP,Spain,63,259000
4885,Motor Yacht,Four Winns power boats,"Used boat,Diesel",2010,13.3,4.07,GRP,Croatia,63,258000
4889,Hardtop,Galeon power boats,"Used boat,Diesel",2014,11.99,3.66,GRP,Switzerland,267,280780
4891,Sport Boat,Fjord power boats,"Display Model,Gas",2020,11.63,3.64,GRP,Croatia,104,256800
4892,Hardtop,Sessa power boats,"new boat from stock,Unleaded",2020,11.7,3.75,GRP,Italy,58,256000
4893,Hardtop,B̩n̩teau power boats,"Used boat,Diesel",2010,14.8,4.27,PVC,France,63,256000
4896,Flybridge,Azimut power boats,"Used boat,Diesel",2005,14.0,4.0,GRP,Croatia,61,255000
4897,Motor Yacht,B̩n̩teau power boats,"Used boat,Diesel",2011,14.0,4.0,GRP,Croatia,116,255000
4898,Trawler,Sabre power boats,"Used boat,Diesel",2000,14.22,4.57,GRP,Netherlands,42,255000
4900,Motor Yacht,Neptunus power boats,"Used boat,Diesel",1994,18.9,5.15,GRP,Germany,72,255000
4902,Hardtop,Jeanneau power boats,"Used boat,Diesel",2018,11.75,3.62,PVC,France,44,255000
4903,Flybridge,Azimut power boats,"Used boat,Diesel",2006,12.0,4.0,GRP,Croatia,88,255000
4905,Motor Yacht,Rhea power boats,"Used boat,Unleaded",2019,9.75,3.33,PVC,France,96,255000
4906,Hardtop,Jeanneau power boats,"new boat from stock,Unleaded",2019,10.44,3.32,GRP,Germany,75,254900
4908,Runabout,Riva power boats,"Used boat,Unleaded",2017,8.21,2.5,GRP,Switzerland,388,277750
4910,Motor Yacht,Storebro power boats,"Used boat,Diesel",2005,12.5,3.9,GRP,Germany,434,254000
4911,Hardtop,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,9.9,3.4,PVC,Spain,75,253370
4912,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2011,11.98,4.16,PVC,France,68,253000
4913,Trawler,B̩n̩teau power boats,"new boat from stock,Diesel",2020,11.29,3.96,PVC,France,54,252800
4914,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2005,13.21,4.21,GRP,Croatia,81,250000
4915,Hardtop,Azimut power boats,"Used boat,Diesel",2007,13.0,4.22,GRP,Italy,242,250000
4916,Motor Yacht,Azimut power boats,"Used boat,Diesel",2006,12.43,4.29,GRP,Italy,82,250000
4919,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,17.8,4.59,GRP,Italy,88,250000
4920,Flybridge,B̩n̩teau power boats,"Used boat,Diesel",2015,12.89,4.05,PVC,France,60,250000
4921,Flybridge,Cranchi power boats,Used boat,2007,15.52,4.33,GRP,Turkey,42,250000
4923,Flybridge,Ferretti power boats,"Used boat,Diesel",2000,16.3,4.73,GRP,Italy,39,250000
4924,Flybridge,Conam power boats,"Used boat,Diesel",2006,18.45,4.4,GRP,Italy,127,250000
4925,Motor Yacht,Raffaelli power boats,"Used boat,Diesel",2008,17.9,4.38,GRP,Italy,87,250000
4926,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2000,17.07,4.6,GRP,Italy,158,250000
4929,Motor Yacht,Absolute power boats,"Used boat,Diesel",2009,14.61,4.19,GRP,Italy,77,250000
4933,Hardtop,Jeanneau power boats,"Used boat,Diesel",2018,11.15,3.74,GRP,Germany,81,249900
4934,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1995,18.0,4.68,GRP,Spain,160,249900
4936,Motor Yacht,Invictus power boats,"new boat from stock,Diesel",2019,10.0,2.78,GRP,Spain,164,249900
4937,Flybridge,Princess power boats,"Used boat,Diesel",2004,13.7,4.27,GRP,Greece,66,249900
4938,Motor Yacht,Sealine power boats,"new boat from stock,Diesel",2020,10.31,3.5,GRP,Germany,106,249841
4940,Motor Yacht,Frauscher power boats,"Used boat,Unleaded",2016,9.99,2.98,GRP,Switzerland,340,272700
4941,Motor Yacht,Jacabo power boats,Used boat,2005,14.75,4.25,Steel,Netherlands,64,249500
4945,Motor Yacht,Linssen power boats,"Used boat,Diesel",1998,14.1,4.45,Steel,Germany,162,249000
4947,Motor Yacht,Sealine power boats,Used boat,2017,10.31,3.5,GRP,Finland,172,249000
4948,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2020,10.56,3.32,PVC,France,44,249000
4950,Hardtop,Jeanneau power boats,"new boat from stock,Unleaded",2020,10.45,3.37,PVC,France,32,249000
4951,Motor Yacht,van der Heijden power boats,Used boat,2002,14.95,4.65,Steel,Netherlands,110,249000
4953,Hardtop,Marex power boats,"Used boat,Diesel",2017,9.99,3.3,GRP,Germany,258,249000
4954,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2019,10.5,3.32,PVC,France,57,249000
4955,Flybridge,Ferretti power boats,"Used boat,Diesel",2003,14.5,4.6,GRP,France,115,249000
4956,Hardtop,B̩n̩teau power boats,"new boat from stock,Diesel",2020,9.95,3.35,PVC,France,71,249000
4958,Cabin Boat,Invictus power boats,"new boat from stock,Unleaded",2020,9.97,3.0,GRP,Germany,173,248800
4959,"Classic,Runabout",Frauscher power boats,"new boat on order,Unleaded",2021,7.57,2.25,GRP,Switzerland,191,248700
4960,Motor Yacht,Minor power boats,"Used boat,Diesel",2013,11.8,3.6,GRP,Denmark,48,240500
4961,Hardtop,Sessa power boats,"Used boat,Diesel",2012,13.5,4.0,Plastic,Italy,350,248000
4964,Trawler,B̩n̩teau power boats,new boat from stock,2018,9.99,3.53,PVC,Belgium,125,248000
4965,Sport Boat,Tecnorib power boats,"new boat from stock,Unleaded",2020,11.37,3.54,GRP,Switzerland,104,247820
4967,Hardtop,Marex power boats,"Used boat,Diesel",2016,10.2,3.2,GRP,France,217,247000
4970,Flybridge,Dellapasqua power boats,"Used boat,Diesel",2011,13.3,4.22,GRP,Italy,65,245000
4971,Motor Yacht,Galeon power boats,"Used boat,Diesel",2011,12.26,3.9,GRP,Germany,183,245000
4974,Flybridge,Princess power boats,"Used boat,Diesel",2007,13.05,4.13,GRP,Spain,157,245000
4975,Flybridge,Azimut power boats,"Used boat,Diesel",2009,12.9,4.22,GRP,Spain,234,245000
4976,Flybridge,Fairline power boats,Used boat,2003,14.5,4.39,GRP,Finland,142,245000
4977,Motor Yacht,Nimbus power boats,"Used boat,Diesel",2019,10.07,3.25,GRP,Netherlands,118,244000
4979,Motor Yacht,Jeanneau power boats,"new boat from stock,Unleaded",2020,10.52,3.2,GRP,Germany,41,243000
4980,Motor Yacht,B̩n̩teau power boats,"new boat from stock,Gas",2019,9.58,3.53,GRP,Germany,68,242750
4983,Deck Boat,Sessa power boats,new boat from stock,2020,11.94,3.5,GRP,Italy,138,242000
4984,Flybridge,Azimut power boats,"Used boat,Diesel",2005,12.35,4.22,GRP,France,24,242000
4986,Bowrider,Four Winns power boats,"new boat from stock,Unleaded",2019,9.16,2.87,GRP,Switzerland,164,263417
4988,"Classic,Motor Yacht",Swiss Craft power boats,"Used boat,Unleaded",1975,13.0,3.9,Wood,Switzerland,231,262600
4989,"Classic,Runabout",Pedrazzini power boats,"Used boat,Unleaded",2000,9.45,2.8,Wood,Switzerland,279,262600
4990,"Cabin Boat,Classic",Riva power boats,"Used boat,Unleaded",2016,8.21,2.5,GRP,Switzerland,344,262600
4991,Motor Yacht,Princess power boats,"Used boat,Diesel",2006,14.97,4.02,GRP,United,78,258420
4992,Hardtop,Sealine power boats,"Used boat,Diesel",2010,14.3,4.47,PVC,United,117,258361
4994,Motor Yacht,Jeanneau power boats,"new boat on order,Diesel",2020,10.5,3.32,GRP,Germany,88,240023
4996,Motor Yacht,Riviera power boats,"Used boat,Diesel",2004,12.98,4.61,GRP,Portugal,42,240000
4997,Center console boat,Fairline power boats,Used boat,2010,13.12,4.04,GRP,Italy,136,240000
4999,Sport Boat,B̩n̩teau power boats,"Used boat,Diesel",2012,15.24,4.57,GRP,Greece,123,240000
5000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2006,14.18,4.3,GRP,Italy,89,240000
5003,Flybridge,B̩n̩teau power boats,"Used boat,Diesel",2015,13.5,4.09,PVC,France,60,239000
5004,Hardtop,Galeon power boats,"Used boat,Diesel",2015,10.9,3.35,GRP,Germany,346,239000
5005,Flybridge,Fairline power boats,"Used boat,Diesel",2004,14.6,4.3,GRP,Croatia,122,239000
5006,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2005,14.55,4.36,PVC,Croatia,51,239000
5007,Flybridge,Cranchi power boats,"Used boat,Diesel",2006,15.01,4.33,GRP,Italy,60,239000
5008,Trawler,Smelne power boats,Used boat,2001,14.25,4.2,Steel,Netherlands,39,239000
5009,Trawler,Linssen power boats,Used boat,1999,13.99,4.35,Steel,Netherlands,62,239000
5011,Center console boat,Boston Whaler power boats,"Used boat,Unleaded",2019,7.62,2.74,GRP,Spain,77,239000
5012,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,10.5,3.35,PVC,France,54,239000
5013,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,14.96,4.29,GRP,Croatia,71,239000
5014,Hardtop,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,9.95,3.32,PVC,France,26,239000
5015,Motor Yacht,Marex power boats,"Used boat,Diesel",2014,10.78,3.31,GRP,Germany,99,239000
5016,Motor Yacht,B̩n̩teau power boats,"Used boat,Diesel",2011,12.0,3.0,GRP,Croatia,147,239000
5018,Hardtop,Princess power boats,"Used boat,Diesel",2008,14.35,3.99,GRP,Spain,219,239000
5021,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2011,11.8,3.99,GRP,Croatia,120,239000
5024,Flybridge,Jeanneau power boats,new boat from stock,2020,10.45,3.37,GRP,Germany,119,238900
5025,Hardtop,Galeon power boats,"new boat from stock,Unleaded",2021,9.6,2.94,GRP,Switzerland,319,238360
5029,Hardtop,Jeanneau power boats,"Used boat,Diesel",2016,12.33,3.8,PVC,France,69,238000
5030,Pilothouse,AGA-Marine power boats,"new boat from stock,Diesel",2016,12.0,3.97,Steel,Poland,87,235000
5031,Flybridge,Storebro power boats,"Used boat,Diesel",2005,12.5,3.9,GRP,Portugal,124,235000
5032,Sport Boat,Tecnomar power boats,"Used boat,Diesel",2003,19.6,4.4,GRP,Italy,98,235000
5034,Motor Yacht,Momenta power boats,"new boat from stock,Diesel",2019,11.0,3.75,GRP,Turkey,55,235000
5036,Hardtop,Atlantis power boats,"Used boat,Diesel",2009,13.96,4.25,GRP,Italy,58,235000
5040,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2014,12.15,3.9,GRP,Croatia,89,235000
5041,Hardtop,Jeanneau power boats,"Used boat,Diesel",2018,10.53,3.32,PVC,France,71,235000
5043,Motor Yacht,Cranchi power boats,Used boat,2017,11.7,3.53,GRP,Germany,101,235000
5045,Flybridge,Azimut power boats,"Used boat,Diesel",2006,14.65,4.36,GRP,Italy,145,235000
5048,Hardtop,Jeanneau power boats,"Used boat,Unleaded",2017,11.47,3.62,GRP,Germany,185,235000
5049,"Hardtop,Motor Yacht,Sport Boat",Bavaria power boats,"Used boat,Unleaded",2017,13.29,3.97,GRP,Croatia,482,235000
5050,Motor Yacht,Gruno power boats,"Used boat,Diesel",2018,11.9,3.9,Steel,Greetsile/,397,235000
5051,Motor Yacht,Princess power boats,"Used boat,Diesel",2002,15.2,4.27,GRP,Greece,117,234900
5052,Motor Yacht,Sessa power boats,"Used boat,Diesel",2009,13.2,3.99,GRP,France,157,234800
5053,Motor Yacht,Greenline power boats,"new boat from stock,Diesel",2020,9.99,3.49,GRP,Denmark,72,225599
5056,Motor Yacht,Sunseeker power boats,Used boat,2007,14.95,4.3,GRP,Croatia,83,232000
5058,Cabin Boat,Aquador power boats,"Used boat,Diesel",2017,10.6,3.45,GRP,Switzerland,261,252500
5060,Motor Yacht,Loon power boats,"Used boat,Diesel",2015,12.7,3.99,Aluminium,Switzerland,171,251490
5061,Flybridge,Azimut power boats,"Used boat,Diesel",2005,12.9,4.29,GRP,Croatia,100,229900
5062,Flybridge,Azimut power boats,"Used boat,Diesel",2002,15.85,4.4,GRP,Greece,124,229900
5064,Sport Boat,Viper power boats,"Used boat,Unleaded",2019,9.8,3.0,GRP,Germany,96,229500
5065,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,14.0,4.0,GRP,Greece,123,229000
5066,Hardtop,Innovazioni e Progetti power boats,"Used boat,Diesel",2008,14.7,4.64,GRP,Italy,37,229000
5067,Trawler,Altena power boats,"Used boat,Diesel",2012,12.66,3.95,Steel,Netherlands,110,229000
5068,Motor Yacht,Pacific power boats,Used boat,2003,14.8,4.55,Steel,Netherlands,54,229000
5070,Flybridge,Sealine power boats,"Used boat,Diesel",2007,12.88,4.21,GRP,Croatia,34,229000
5071,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2007,17.53,4.65,GRP,Croatia,111,229000
5072,Motor Yacht,Itama power boats,"Used boat,Diesel",2006,13.36,3.95,GRP,France,78,229000
5073,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2009,13.0,4.16,GRP,Croatia,50,229000
5074,Trawler,B̩n̩teau power boats,"Used boat,Diesel",2017,10.98,4.0,PVC,France,45,229000
5075,Pilothouse,Jeanneau power boats,"Used boat,Diesel",2015,11.51,3.62,GRP,Croatia,96,229000
5076,Motor Yacht,Pershing power boats,"Used boat,Diesel",2002,13.78,4.14,GRP,Italy,171,229000
5077,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2016,11.47,3.62,GRP,Germany,186,229000
5078,Trawler,Zuiderzee power boats,Used boat,2000,14.0,4.25,Steel,Netherlands,123,229000
5080,Motor Yacht,Cruisers Yachts power boats,"Used boat,Diesel",2007,13.11,4.11,GRP,Netherlands,69,229000
5081,Bowrider,Frauscher power boats,"new boat from stock,Unleaded",2019,8.67,2.49,GRP,Switzerland,620,228975
5083,Pontoon Boat,Performance power boats,"Used boat,Unleaded",2009,11.8,3.0,GRP,Italy,173,228000
5084,Trawler,B̩n̩teau power boats,Used boat,2007,13.6,4.17,GRP,Denmark,113,220350
5085,Pilothouse,Ranieri International power boats,new boat from stock,2017,11.5,3.0,GRP,Switzerland,290,248460
5086,Hardtop,Marex power boats,Used boat,2016,9.99,3.3,GRP,Netherlands,212,227500
5089,Motor Yacht,Motiva power boats,"Used boat,Diesel",2002,13.18,3.74,Steel,Denmark,73,218400
5091,Sport Boat,Cantieri di Sarnico power boats,Used boat,2000,17.15,4.54,GRP,Italy,75,225000
5093,Sport Boat,Rivers and Tides power boats,"new boat from stock,Electric",2017,6.8,2.07,Wood,Austria,44,225000
5095,Motor Yacht,Condor Yachting power boats,"Used boat,Diesel",1999,17.5,5.0,Steel,France,524,225000
5096,"House Boat,Motor Yacht,Trawler",Hollandia power boats,"Used boat,Diesel",1998,14.3,4.45,Steel,Sweden,471,225000
5097,Flybridge,Jeanneau power boats,"Used boat,Diesel",2007,14.85,4.36,GRP,Croatia,127,225000
5098,Hardtop,B̩n̩teau power boats,"Used boat,Diesel",2016,12.55,3.85,PVC,France,46,224916
5101,Hardtop,Jeanneau power boats,"Used boat,Unleaded",2020,10.44,3.32,PVC,France,34,224391
5102,Motor Yacht,Azimut power boats,"Used boat,Diesel",1998,14.33,4.4,GRP,Spain,108,224200
5103,Pilothouse,Nimbus power boats,Used boat,2017,9.85,3.25,GRP,Switzerland,295,224000
5104,Motor Yacht,Parker power boats,"new boat from stock,Unleaded",2019,11.2,3.6,GRP,Germany,71,223129
5107,Motor Yacht,Sessa power boats,"new boat from stock,Diesel",2011,11.7,3.75,GRP,Denmark,50,215475
5111,Cabin Boat,Q-Yachts power boats,"new boat from stock,Electric",2019,9.3,2.2,GRP,Switzerland,280,240430
5112,Flybridge,Azimut power boats,"Used boat,Diesel",2004,13.0,4.0,GRP,Italy,44,220000
5113,Flybridge,Princess power boats,"Used boat,Diesel",1996,13.68,4.17,GRP,Portugal,47,220000
5114,"Classic,Flybridge",Cantieri di Pisa power boats,"Used boat,Diesel",1980,27.0,6.68,Wood,Italy,199,220000
5117,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",2003,16.76,4.66,GRP,Turkey,109,220000
5119,Center console boat,Rhea power boats,"Used boat,Diesel",2017,10.6,3.15,PVC,France,76,220000
5120,Hardtop,B̩n̩teau power boats,"Used boat,Diesel",2011,12.9,3.99,GRP,Italy,52,220000
5121,Hardtop,Absolute power boats,"Used boat,Diesel",2008,14.3,4.2,GRP,Italy,105,220000
5122,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2012,11.0,3.0,GRP,Croatia,134,220000
5123,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2004,14.76,4.2,GRP,Spain,177,219900
5124,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,17.28,4.6,GRP,Spain,106,235998
5125,Cabin Boat,Sunseeker power boats,"Used boat,Diesel",2001,18.5,4.59,GRP,Spain,239,235988
5126,Trawler,ReLine power boats,Used boat,2009,12.25,4.15,Steel,Netherlands,61,219500
5127,Motor Yacht,Pacific power boats,Used boat,2006,16.0,4.75,Steel,Netherlands,74,219500
5129,Trawler,Vri-Jon power boats,Used boat,2009,13.9,4.2,Steel,Netherlands,97,219500
5131,Trawler,Concordia power boats,"Used boat,Diesel",2010,14.5,4.7,Steel,Netherlands,95,219500
5132,Motor Yacht,Princess power boats,"Used boat,Diesel",2003,14.88,4.01,GRP,Croatia,136,219000
5133,Flybridge,Azimut power boats,"Used boat,Diesel",2002,14.0,4.0,GRP,Croatia,185,219000
5134,Hardtop,Sessa power boats,"new boat from stock,Unleaded",2020,11.4,3.45,GRP,Italy,132,219000
5140,Hardtop,Absolute power boats,"Used boat,Diesel",2009,12.7,4.1,GRP,Spain,143,219000
5141,Sport Boat,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,9.95,3.35,PVC,France,56,219000
5142,Trawler,Smelne power boats,Used boat,2005,12.77,4.15,Steel,Netherlands,30,219000
5144,Motor Yacht,Linssen power boats,"Used boat,Diesel",2001,13.2,4.35,Steel,Germany,161,219000
5145,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,16.13,4.44,GRP,Germany,172,219000
5146,Motor Yacht,Fairline power boats,"Used boat,Diesel",2001,15.2,3.94,GRP,Netherlands,73,219000
5147,Hardtop,Giorgi power boats,"Used boat,Diesel",2009,15.4,4.2,GRP,Italy,61,219000
5148,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,16.13,4.44,GRP,Germany,134,219000
5149,House Boat,Nautilus power boats,"Used boat,Electric",2020,10.9,3.6,Plastic,Germany,363,219000
5151,Motor Yacht,Nimbus power boats,"Used boat,Diesel",2018,10.07,3.25,GRP,Netherlands,76,219000
5155,Motor Yacht,Solare power boats,"Used boat,Diesel",2006,12.5,4.2,GRP,Italy,37,215000
5156,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2009,11.98,4.16,GRP,Spain,174,215000
5158,Motor Yacht,Dellapasqua power boats,"Used boat,Diesel",2003,15.98,4.22,GRP,Italy,55,215000
5159,Hardtop,Jeanneau power boats,"Used boat,Diesel",2019,10.56,3.32,PVC,France,20,215000
5160,Motor Yacht,Nimbus power boats,"Used boat,Diesel",2019,9.35,2.95,GRP,Germany,216,215000
5161,Flybridge,Carnevali power boats,"Used boat,Diesel",2001,14.9,4.7,GRP,Italy,19,215000
5162,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2008,14.55,4.36,PVC,France,34,215000
5163,Pilothouse,Jeanneau power boats,new boat from stock,2020,9.94,3.37,GRP,Italy,106,215000
5165,Flybridge,B̩n̩teau power boats,"Used boat,Diesel",2016,11.37,3.9,PVC,France,42,215000
5166,Flybridge,Sealine power boats,"Used boat,Diesel",2006,12.9,4.21,PVC,Spain,71,215000
5167,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1995,17.57,4.8,GRP,Italy,56,215000
