,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days,Price in EUR
3517,Flybridge,Prestige Yachts power boats,new boat from stock,2019,19.03,5.15,GRP,Netherlands,74,1603049
3519,Flybridge,MCY power boats,"Used boat,Diesel",2015,21.3,5.42,PVC,Italy,77,1595000
3520,Flybridge,Princess power boats,"Used boat,Diesel",2008,25.91,6.27,GRP,Croatia,114,1550000
3521,Flybridge,Princess power boats,"Used boat,Diesel",2013,22.35,5.49,GRP,Spain,38,1549000
3523,Mega Yacht,Mondo marine power boats,"Used boat,Diesel",1994,38.5,7.3,GRP,Spain,454,1500000
3524,Motor Yacht,Dominator power boats,"Used boat,Diesel",2007,27.48,6.6,GRP,Croatia,118,1500000
3525,Motor Yacht,Filippetti power boats,"Used boat,Diesel",2008,23.85,5.32,GRP,Germany,39,1500000
3526,Motor Yacht,Overmarine power boats,Used boat,2008,25.07,5.9,GRP,Germany,65,1500000
3527,Flybridge,Princess power boats,"Used boat,Diesel",2019,17.6,4.88,GRP,Croatia,151,1500000
3531,Flybridge,Princess power boats,"Used boat,Diesel",2012,22.37,5.49,GRP,Greece,82,1500000
3532,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2007,23.0,6.17,GRP,Italy,64,1500000
3533,Flybridge,MCY power boats,"Used boat,Diesel",2016,19.82,5.21,GRP,Italy,110,1499000
3534,Motor Yacht,Riva power boats,"Used boat,Diesel",2016,19.65,4.8,GRP,Spain,742,1499000
3535,Trawler,Linssen power boats,"Used boat,Diesel",2014,16.8,4.88,Steel,Sweden,419,1499000
3536,Motor Yacht,Riva power boats,"Used boat,Diesel",2008,23.16,5.73,GRP,Portugal,116,1495000
3538,Flybridge,Azimut power boats,"Used boat,Diesel",2015,20.15,5.23,GRP,France,51,1490000
3539,Flybridge,Sunseeker power boats,"Used boat,Diesel",2013,21.07,5.08,PVC,Spain,103,1490000
3541,Motor Yacht,Posillipo power boats,"Used boat,Diesel",2017,21.34,5.9,GRP,Italy,54,1450000
3542,Center console boat,Riva power boats,Used boat,2009,20.55,5.45,GRP,Italy,142,1450000
3544,Motor Yacht,Explorer power boats,"Used boat,Diesel",2004,25.6,7.2,GRP,Spain,66,1450000
3547,Flybridge,Sunseeker power boats,"new boat from stock,Diesel",2020,17.21,4.87,GRP,Switzerland,124,1536140
3549,Flybridge,Cranchi power boats,new boat from stock,2017,18.52,4.85,GRP,Netherlands,100,1402995
3552,Motor Yacht,Cranchi power boats,new boat from stock,2017,18.52,4.85,GRP,Netherlands,83,1371535
3553,Flybridge,Sunseeker power boats,"Used boat,Diesel",2014,21.7,5.12,GRP,Spain,58,1473820
3556,Motor Yacht,Fairline power boats,Used boat,2010,24.4,5.7,GRP,Netherlands,72,1350000
3557,Motor Yacht,Princess power boats,"Used boat,Diesel",2008,25.98,6.27,GRP,Croatia,62,1350000
3561,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,22.55,5.41,GRP,Croatia,94,1349000
3564,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2020,18.7,4.84,PVC,France,86,1339000
3566,Motor Yacht,Fiart Mare power boats,"new boat from stock,Diesel",2020,17.13,4.42,PVC,France,107,1312560
3567,Motor Yacht,Amer power boats,"Used boat,Diesel",2008,23.94,6.3,GRP,Slovenia,56,1300000
3569,Motor Yacht,Hatteras power boats,"Used boat,Diesel",2004,21.43,5.49,GRP,Italy,27,1300000
3570,Motor Yacht,Sessa power boats,Used boat,2016,21.03,5.07,GRP,France,79,1300000
3571,Flybridge,Wim van der Valk power boats,Used boat,2009,24.5,6.2,Steel,Germany,118,1295000
3572,Motor Yacht,Ferretti power boats,"Used boat,Diesel",2005,22.68,5.8,GRP,Croatia,33,1290000
3573,Motor Yacht,Sessa power boats,"Used boat,Diesel",2012,21.04,5.07,GRP,Croatia,59,1289000
3574,Sport Boat,Delta Powerboats power boats,"new boat from stock,Diesel",2020,18.4,4.6,Carbon Fiber,Switzerland,431,1285000
3575,Motor Yacht,B̩n̩teau power boats,"Display Model,Diesel",2019,18.35,4.93,GRP,Germany,104,1280500
3576,Motor Yacht,Ferretti power boats,"Used boat,Diesel",2009,22.7,5.48,GRP,Italy,102,1275000
3579,Motor Yacht,Sessa power boats,"Used boat,Diesel",2012,19.24,5.07,GRP,Croatia,144,1270000
3580,Flybridge,Sunseeker power boats,"Used boat,Diesel",2018,17.25,4.63,GRP,Spain,86,1357000
3581,Flybridge,Cranchi power boats,new boat from stock,2018,17.2,4.85,GRP,Netherlands,71,1232966
3582,Motor Yacht,Cranchi power boats,"new boat on order,Diesel",2020,17.2,5.87,PVC,France,41,1222776
3584,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2018,16.15,4.61,GRP,France,62,1298000
3585,Trawler,Cranchi power boats,new boat from stock,2020,17.0,4.95,GRP,Netherlands,96,1203950
3586,Motor Yacht,Filippetti power boats,"Used boat,Diesel",2008,23.03,5.71,GRP,Turkey,32,1200000
3587,Mega Yacht,Sanlorenzo power boats,"Used boat,Diesel",2007,23.99,6.3,GRP,Italy,76,1200000
3588,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2011,19.2,5.12,GRP,Spain,54,1200000
3592,Catamaran,Baikal power boats,"new boat on order,Diesel",2021,16.0,7.0,Steel,Russian,311,1200000
3594,Motor Yacht,Fiart Mare power boats,"new boat on order,Diesel",2020,17.0,4.37,PVC,France,72,1197600
3595,Flybridge,Selene power boats,"Used boat,Diesel",2008,21.0,5.0,GRP,Greece,63,1195000
3597,Motor Yacht,Sessa power boats,"Used boat,Diesel",2012,21.04,5.07,GRP,Croatia,149,1190000
3598,Trawler,Selene power boats,"Used boat,Diesel",2008,21.77,5.69,GRP,Slovenia,66,1190000
3600,Motor Yacht,Cranchi power boats,new boat from stock,2017,18.52,4.85,GRP,Netherlands,110,1184590
3601,Motor Yacht,Princess power boats,"Used boat,Diesel",2017,18.16,4.6,GRP,Italy,84,1180000
