,Length,Width,views_7days,Price in EUR,clusters,cluster
59,-0.5463892366909695,-0.5585727190524444,-0.14061516683942224,-0.3596455535852334,1,light purple
60,-1.0679487786684545,-1.2277216084453046,0.12877151976419393,-0.3596455535852334,1,light purple
61,-0.8554615578628125,-0.8708422007691126,-6.559122014424585e-05,-0.3596455535852334,1,light purple
62,-0.9752270823169017,-0.9422180823043511,0.5504202466220279,-0.35748301007955224,1,light purple
63,-0.8168275177163321,-1.4061613122834007,0.39815820636781013,-0.35748301007955224,1,light purple
64,-1.0099977184487339,-1.6738208680405446,0.11705905512925409,-0.35748301007955224,1,light purple
65,-1.2050996211884597,-1.2277216084453046,-0.27530851014123037,-0.3588194888299577,1,light purple
66,-1.2997530195473366,-1.6292109420810208,-0.017634288172553997,-0.3576186727466788,1,light purple
67,-0.5270722166177294,-0.7816223488500645,2.4771206790696305,-0.35897395622322065,4,dark purple
68,-0.7685349675332317,-0.986828008263875,0.13462775208166383,-0.35897395622322065,1,light purple
69,0.14902348594567688,-0.42474294117387257,0.11705905512925409,-0.35897395622322065,1,light purple
70,0.2456085863118778,-0.8708422007691126,4.321833859072655,-0.35897395622322065,4,dark purple
71,-0.7878519876064718,-0.99574999345578,3.636654677928674,-0.35897395622322065,4,dark purple
72,-0.8129641137016842,-0.852998230385303,0.07606542890696467,-0.35897395622322065,1,light purple
73,-0.8129641137016842,-0.852998230385303,0.26346486306600203,-0.35897395622322065,1,light purple
74,-0.9520466582290135,-1.0135939638395897,0.7143947515111856,-0.35763076149919504,1,light purple
75,-1.2224849392543757,-1.2277216084453046,-0.21674618696653117,-0.35763076149919504,1,light purple
76,-0.913412618082533,-0.9600620526881607,0.3923019740503402,-0.35763076149919504,1,light purple
77,-0.81103241169436,-0.8351542600014934,0.3747332770979304,-0.35763076149919504,1,light purple
78,-1.0505634606025382,-1.1385017565262565,-0.439283015030388,-0.35763076149919504,1,light purple
79,-0.9848855923535217,-0.9689840378800653,0.07606542890696467,-0.35763076149919504,1,light purple
80,-0.6622913571304108,-0.7905443340419696,0.06435296427202485,-0.35763076149919504,1,light purple
81,-1.0099977184487339,-0.9600620526881607,1.522554811322034,-0.35763076149919504,1,light purple
82,-0.7395594374233714,-0.8708422007691126,0.474289226494919,-0.35763076149919504,1,light purple
83,-0.6970619932622429,-0.4515088967495868,0.5387077819870881,-0.35763076149919504,1,light purple
84,-1.1896460051298676,-1.209877638061495,-0.07034037902978325,-0.3576321046939191,1,light purple
85,-1.1838508991078955,-1.2277216084453046,0.544564014304558,-0.3576321046939191,1,light purple
86,-1.1645338790346553,-1.120657786142447,0.09949035817684435,-0.3576321046939191,1,light purple
87,-1.2611189794008562,-1.0492819046072088,0.040928035002145174,-0.3576441934464353,1,light purple
88,-0.8747785779360526,-1.0492819046072088,-0.1523276314743621,-0.3576441934464353,1,light purple
89,-0.6719498671670308,-0.6477925709714926,-0.1230464698870125,-0.3562875667751695,1,light purple
90,-0.9269345321338012,-1.0938918305667327,1.6396794576714324,-0.3562875667751695,1,light purple
91,-0.913412618082533,-1.1385017565262565,0.9662127411623921,-0.3562875667751695,1,light purple
92,-0.9790904863315496,-0.8797641859610172,0.1521964490340736,-0.3562875667751695,1,light purple
93,-0.7781934775698517,-0.4693528671333964,5.498936554884108,-0.3562875667751695,4,dark purple
94,-1.2031679191811357,1.3239661564394685,-0.1230464698870125,-0.3563009987224097,0,light pink
95,-1.1452168589614151,-0.9689840378800653,0.7143947515111856,-0.35483825966794585,1,light purple
96,-1.2031679191811357,-1.4061613122834007,0.6499761960190166,-0.35490541940414716,1,light purple
97,-1.2997530195473366,-1.5399910901619727,1.1887495692262489,-0.35490541940414716,1,light purple
98,-1.2224849392543757,-1.4061613122834007,0.10534659049431426,-0.35525330683766976,1,light purple
99,-1.2031679191811357,-1.3169414603643528,-0.087909075982193,-0.35561596941315665,1,light purple
100,0.6705830279231616,0.15518609629993946,0.4274393679551597,-0.35561596941315665,0,light pink
101,-1.0872657987416947,-1.1385017565262565,1.6982417808461314,-0.35561596941315665,4,dark purple
102,-0.7781934775698517,-0.5585727190524444,0.017503105732265507,-0.35561596941315665,1,light purple
103,-0.8071690076797121,-0.8708422007691126,1.6045420637666128,-0.3523278287287421,1,light purple
104,-1.2031679191811357,-1.3169414603643528,-0.7438070955388237,-0.3540175676915662,1,light purple
105,-1.2862311054960684,-1.3793953567076864,0.2927460246533516,-0.35246349139586863,1,light purple
106,-1.0196562284853539,-0.8886861711529223,-0.24017111623641085,-0.3542727746891311,1,light purple
107,-0.9790904863315496,-0.8886861711529223,-0.3045896717285799,-0.3542727746891311,1,light purple
108,-0.6719498671670308,-0.8083883044257791,-0.4627079443002677,-0.3542727746891311,1,light purple
109,-0.8168275177163321,-1.3169414603643528,0.5972701051617872,-0.3542727746891311,1,light purple
110,-1.116241328851555,-1.1831116824857808,-0.3104459040460498,-0.3542727746891311,1,light purple
111,-0.4691211563980087,-0.6121046302038733,-0.17575256074424175,-0.3542727746891311,1,light purple
112,-1.2997530195473366,-1.3169414603643528,-0.47442040893520754,-0.3542727746891311,1,light purple
113,-0.913412618082533,-0.9243741119205414,0.5855576405268474,-0.3542727746891311,1,light purple
114,-1.5895083206459393,-1.3169414603643528,0.14048398439913376,-0.3529295799651055,1,light purple
115,-1.0563585666245103,-1.0938918305667327,0.761244610050945,-0.3512425273917294,1,light purple
116,-1.2224849392543757,-1.2455655788291142,-0.25188358087135065,-0.35310956805812493,1,light purple
117,-1.1548753689980353,-1.1741896972938757,-0.06448414671231334,-0.35137819005885595,1,light purple
118,-1.0718121826831026,-1.3258634455562575,0.7202509838286555,-0.3533325383823132,1,light purple
119,-0.40151158614166815,-0.42474294117387257,0.6968260545587759,-0.3536011773271183,1,light purple
120,-0.9288662341411251,-0.9779060230719703,-0.17575256074424175,-0.3536011773271183,1,light purple
121,-1.2050996211884597,-1.2544875640210191,-0.2577398131888206,-0.3536011773271183,1,light purple
122,-1.2611189794008562,-1.4507712382429245,-0.03520298512496375,-0.35239230207549527,1,light purple
123,-0.2373169155191267,-0.42474294117387257,-0.29873343941111,-0.35239230207549527,1,light purple
124,-1.0969243087783147,-1.156345726910066,-0.439283015030388,-0.35239230207549527,1,light purple
125,-1.2611189794008562,-1.3615513863238766,-0.5388389644273766,-0.35239230207549527,1,light purple
126,-0.4111700961782884,-0.2998351484872052,1.1360434783690196,-0.35239230207549527,1,light purple
127,-0.6429743370571704,-0.8708422007691126,0.21075877220877276,-0.35239230207549527,1,light purple
128,-1.1741923890712753,-1.1831116824857808,-0.5505514290623165,-0.35239230207549527,1,light purple
